Sentimen,author,text,publishedAt,likeCount
Positif,User_Bijak,Penyampaian yang sangat berbobot dan cerdas. Salut dengan argumen Bang Ferry.,5 months ago,1.5K
Positif,AkbarGlow,Setuju banget sama poin-poinnya. Akhirnya ada yang berani bersuara objektif.,5 months ago,890
Positif,Rani_Cerdas,Diskusi yang sangat mencerahkan. Saya mendapatkan banyak perspektif baru.,5 months ago,1.2K
Positif,Tulus_Pikir,Sangat menginspirasi. Indonesia butuh lebih banyak orang seperti ini.,4 months ago,550
Positif,BintangJaya,Salut buat Om Deddy dan Ferry. Pertanyaan dan jawaban sangat tajam.,4 months ago,2.1K
Positif,HarapanMulia,"Konten seperti ini yang harus diviralkan, bukan yang tidak bermanfaat.",4 months ago,750
Positif,Suka_Kritik,Kritik yang membangun dan data yang kuat. Ini yang dinamakan aktivis sejati.,3 months ago,980
Positif,MajuTerus,Terima kasih sudah menyediakan *space* diskusi yang sehat dan terbuka.,3 months ago,1.8K
Positif,PendukungFerry,"Saya nonton sampai habis, tidak ada yang *skip*! Materinya sangat penting.",3 months ago,600
Positif,IndonesiaMaju,Semoga semakin banyak anak muda yang sadar dan mau berpikir kritis.,2 months ago,1.4K
Positif,OpiniSehat,"Cara penyampaiannya keren, santai tapi mengena. *Respect*!",2 months ago,420
Positif,BanggaNegeri,Saya bangga dengan orang Indonesia yang berani menyuarakan kebenaran.,2 months ago,1.1K
Positif,PembelajarSejati,Setiap kata-katanya penuh makna dan *insight* yang dalam.,1 month ago,350
Positif,PemikirKritis,"Om Deddy pintar memancing diskusi, Bang Ferry pintar menyimpulkan.",1 month ago,2.5K
Positif,KomentarPositif,Sangat mengedukasi. Ini harus jadi tontonan wajib semua orang.,1 month ago,780
Positif,GenerasiZ,"Konten yang saya cari. Tidak hanya hiburan, tapi juga ilmu.",1 month ago,1.6K
Positif,WargaDamai,Diskusi yang damai walaupun beda pandangan. Contoh yang baik.,1 month ago,500
Positif,Mencerahkan,Membuka mata saya tentang banyak hal yang terjadi di balik layar.,5 months ago,900
Positif,Respect,Suka dengan ketenangan Bang Ferry saat menjawab pertanyaan sulit.,5 months ago,2.2K
Positif,Hebat,Kalian berdua memang keren. Diskusi yang berkualitas.,5 months ago,650
Positif,Amanah,Pembahasannya *related* banget dengan isu-isu saat ini. Top!,4 months ago,1.1K
Positif,Pencerah,"Sangat menginspirasi, menambah wawasan dan semangat kritis.",4 months ago,700
Positif,Visioner,Orang ini punya pandangan jauh ke depan. Salut!,4 months ago,1.5K
Positif,KerenLuarBiasa,Kualitas diskusi di *podcast* ini selalu yang terbaik.,3 months ago,900
Positif,DiskusiSehat,"Seharusnya semua *podcast* di Indonesia seperti ini, beretika.",3 months ago,1.7K
Positif,Idola,Saya kagum dengan keberanian dan kecerdasan Bang Ferry.,3 months ago,550
Positif,InspirasiBangsa,"Sangat cocok ditonton oleh semua kalangan, terutama politisi.",2 months ago,1.3K
Positif,GoodJob,"Terima kasih atas konten yang berbobot ini, sangat bermanfaat.",2 months ago,400
Positif,Smart,"Analisisnya tajam dan mudah dipahami, meskipun bahasannya berat.",2 months ago,1.0K
Positif,JagoDebat,Argumen yang sangat kuat dan didukung data. Sulit dibantah.,1 month ago,300
Positif,Pembelajaran,Saya banyak belajar dari cara beliau berbicara dan berargumen.,1 month ago,2.0K
Positif,Setuju100,Saya setuju 100% dengan semua yang disampaikan. *Perfect*!,1 month ago,720
Positif,CerdasPintar,Salah satu *podcast* yang paling mencerahkan di Indonesia.,1 month ago,1.5K
Positif,MajuTerusPantangMundur,Teruslah berkarya dan menyuarakan kebenaran.,5 months ago,800
Positif,Pengagum,Saya selalu menantikan episode dengan bintang tamu seperti ini.,5 months ago,2.1K
Positif,BenarSekali,Semua yang dikatakan benar dan terjadi di masyarakat.,5 months ago,620
Positif,Wawasan,Pengetahuan beliau sangat luas. Pembawaan juga tenang.,4 months ago,1.2K
