author,text,publishedAt,likeCount
@AyiFahmi460,Udah ga inget kapan terakhir nonton ini podkes.. ke sini krn ada ferry aja,5 months ago,2.6K
@ferryirwandi,podcast deg-degan ini,5 months ago,5.6K
@gazadansa813,"Baru nonton ini karena Ferry irwandi  ikut demo, Saya suka kritisi dari bung Fery ini, karena kritik 2 nya membangun dan objektif, semoga seterusnya begitu.",1 month ago,35
@diahayumoerti9758,"Salut bang fery... buat sekolah yg bermanfaat  untuk umat &  sangat inspiratif
Semua rakyat berhak untuk pintar..",1 month ago,6
@rosnamendalo2198,"Saya rasa ferry irwandi ini bukan musuh utama pemerintah, tapi dia ingin mencerdaskan bangsa Indonesia ini dengan ilmu yang dia miliki.",5 months ago,786
@a.arif.m,"ngobrol ini antara om ded dan fery. menjadi contoh kepada publik, bahwa kita sebagai orang indonesia harus bisa tetap akur dan ngobrol walau posisi opini mereka berbeda.",5 months ago,1.3K
@zunedisinambela2186,Seneng banget ada bang ferry,5 months ago,187
@galihlarantama4090,Woy para netizen IQ 78. Just for your information:  ada bocah SD asal Tangerang Selatan juara 2x Olimpiade matematika internasional mengalahkan ribuan peserta dari 17 negara. Viralkan dooong..!!,5 months ago,671
@kingers450,"Mengkritik pemmerintah itu bukan berarti  benci sama pemerintah tapi untuk lebih memperbaiki atau mengingatkan pemerintah agar lebih baik lagi,negara butuh orang2 seperti Ferri Irwandi karna kritiknya positif bisa mengingatkan kita atau pemerintah agar lebih mementingkan rakyatnya lebih dulu ketimbang intitusi atau pribadi sendiri.",5 months ago,21
@SenjaBiru-x6n,"Sudah ga pernah lihat canel ini, gara2 ada bung fery aja lihat.",5 months ago,559
@RofikPatrang,"Terima Kasih Atas Perjuanganmu Kawan, Walaupun Setiap Usaha Membungkammu Dan Mengintimidasimu, Minimal Mereka Akan Mengingat Bahwa Hukum Karma Akan Lebih Mengerikan Dari Apa Yg Mereka Lakukan...",5 months ago,162
@buntorotv9792,"Kangen dimana masa"" om ded tidak punya jabatan
Lebih kritis
Lebih tajam
Dan semenjak bergabung dan di kasih jabatan
Semua telah berubah",5 months ago,543
@jennyanitasari8416,Nonton krn ada Feri Irwandi,5 months ago,407
@kristantosn1136,Kl undang pejabat undang Fery juga Om mantep ini,5 months ago,64
@agamutama8958,"Orang bisa berkata ""saya benar atau saya jujur"". Tapi, bukti dan kenyataan yang telah terjadi saat ini dan sebelumnya. Telah membentuk kenyataan dan pandangan orang saat ini juga. Sekarang, mau sebaik apapun orang tertentu di suatu jabatan atau karya yang telah di buatnya. Itu tidak akan mempengaruhi penilaian orang, Karena penilaian tersebut telah terbentuk dari bukti dan kenyataan yang telah terjadi baik langsung ataupun tidak oleh irang tersebut. Jadi, berbuat baiklah maka orang akan cenderung lebih besar untuk berbuat baik juga. Tapi, apabila orang tertentu berbuat buruk. Tentu hal buruk, juga akan lebih besar dialami orang yang telah melakukan hal tersebut pertama kali.",5 months ago,15
@akshay5432,𝐆𝐀𝐑𝐔𝐃𝐀𝐇𝐎𝐊𝐥sudah terdaftar Resmi,5 months ago,146
